payment_id,verdict,matched_settlement_id,confidence,reasoning,hard_rule_override
pay_1079,match,stl_5079,0.9,Exact amount and date match with moderate reference similarity; other candidate has significant amount and date differences.,False
pay_1081,match,stl_5081,0.9,Only candidate with exact amount and date; high reference similarity; others have large amount differences.,False
pay_1083,match,stl_5083,0.8,Only candidate available; amount and date match exactly; reference similarity low but no alternative.,False
pay_1085,match,stl_5085,0.95,"Amount, date, and reference similarity all match closely.",False
pay_1087,needs_human_review,,0.4,"Amount and date match, but reference similarity is low, making the match uncertain.",False
pay_1091,needs_human_review,,0.4,"Amount and date match, but reference similarity is low, making the match uncertain.",False
pay_1095,match,stl_5095,0.8,Exact amount and date match with settlement stl_5095; other candidates have significant amount differences despite higher reference similarity.,False
pay_1097,match,stl_5097,0.95,"All key fields (amount, date, reference similarity) align perfectly with settlement stl_5097.",False
pay_1098,no_match,,1.0,No plausible settlement candidates found within tolerance.,False
pay_1099,needs_human_review,,0.4,"Both candidates have large amount discrepancies; one has perfect reference but huge amount diff, the other has smaller amount diff but reference mismatch.",False
pay_1100,match,stl_5124,0.7,"Candidate stl_5124 has the smallest amount difference, zero date difference, and high reference similarity, outperforming the other candidate.",False
pay_1102,match,stl_5124,0.8,"Candidate stl_5124 shows a negligible amount difference and moderate reference similarity, while the other candidate has a much larger amount difference.",False
pay_1103,needs_human_review,,0.4,"Exact reference and date match but amount differs by 1603.94, which is a large discrepancy.",False
pay_1104,no_match,,0.9,Neither candidate matches the reference ORD-8105; both have large amount differences and date offsets.,False
pay_1106,no_match,,1.0,No plausible settlement candidates found within tolerance.,False
pay_1107,needs_human_review,stl_5107,0.7,Reference matches exactly and date aligns; amount difference is moderate but reference similarity is perfect. [OVERRIDDEN BY HARD RULE: amount difference of ₹609.24 exceeds the ₹500.0 safety threshold — AI match suggestion rejected regardless of stated confidence.],True
pay_1108,needs_human_review,,0.4,"Neither candidate has a perfect reference match; differences in amount and date are comparable, making the best match unclear.",False
pay_1110,no_match,,0.2,"All candidates reference ORD-8119, none match ORD-8111; amount differences are large and no candidate stands out.",False
pay_1118,match,stl_5125,0.99,"All key fields (amount, date, reference) match exactly with settlement stl_5125.",False
